TRANSACTION	27.0	0.0	1.6199999999999999	28.62
ITEM	10016	NASI KERABU	1	27.0
transaction	27.0	0.0	1.6199999999999999	28.62	
ITEM	10016	NASI KERABU	1	27.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	50.0	0.0	3.0	53.0	
ITEM	1001	PRODUCT A	1	50.0	
transaction	0.0	0.0	0.0	0.0	
transaction	100.0	20.0	4.8	84.8	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	50.0	0.0	3.0	53.0	
ITEM	1001	PRODUCT A	1	50.0	
transaction	0.0	0.0	0.0	0.0	
transaction	100.0	20.0	4.8	84.8	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	0.0	6.0	106.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	0.0	6.0	106.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	50.0	0.0	3.0	53.0	
ITEM	1001	PRODUCT A	1	50.0	
transaction	0.0	0.0	0.0	0.0	
transaction	100.0	20.0	4.8	84.8	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	0.0	6.0	106.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	100.0	10.0	5.4	95.4	
ITEM	1001	PRODUCT A	2	50.0	
transaction	100.0	0.0	6.0	106.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	200.0	20.0	10.8	190.8	
ITEM	1001	PRODUCT A	2	50.0	
ITEM	1002	PRODUCT B	1	100.0	
transaction	50.0	0.0	3.0	53.0	
